title,scope,level,language,topic
Securing Your Assets with Regulations,Gain critical insights into Regulations and its impact on modern cybersecurity.,Advanced,Arabic,Regulations
Mastering Password Security for Professionals,Explore advanced techniques and strategies to mitigate risks related to Password Security.,Beginner,English,Password Security
Understanding Insider Threat,This module focuses on the practical implementation of Insider Threat security measures.,Expert,Arabic,Insider Threat
Understanding Business Email Compromise,Gain critical insights into Business Email Compromise and its impact on modern cybersecurity.,Expert,English,Business Email Compromise
Securing Your Assets with Security Essentials,Learn the fundamental principles of Security Essentials and how to apply them in real-world scenarios.,Beginner,English,Security Essentials
The Complete Guide to Ransomware,Understand the latest trends and challenges in Ransomware and how to effectively address them.,Advanced,Arabic,Ransomware
Understanding Insider Threat,Learn the fundamental principles of Insider Threat and how to apply them in real-world scenarios.,Advanced,Arabic,Insider Threat
Understanding Telework,Understand the latest trends and challenges in Telework and how to effectively address them.,Expert,Arabic,Telework
Navigating the World of PII,Explore advanced techniques and strategies to mitigate risks related to PII.,Beginner,English,PII
Essentials of Acceptance Policy,Gain critical insights into Acceptance Policy and its impact on modern cybersecurity.,Advanced,Arabic,Acceptance Policy
Best Practices for Telecom,Understand the latest trends and challenges in Telecom and how to effectively address them.,Advanced,Arabic,Telecom
Advanced Strategies in Insider Threat,"A comprehensive overview of Insider Threat, designed for both beginners and experienced professionals.",Expert,English,Insider Threat
Best Practices for Password Security,"This course provides an in-depth look at Password Security, covering key concepts and practical applications.",Advanced,Arabic,Password Security
Mastering Clean Office Policy for Professionals,Develop robust policies and procedures to enhance your organization's Clean Office Policy posture.,Beginner,Arabic,Clean Office Policy
Mastering Smishing for Professionals,Understand the latest trends and challenges in Smishing and how to effectively address them.,Intermediate,Arabic,Smishing
Mastering Security Essentials for Professionals,Gain critical insights into Security Essentials and its impact on modern cybersecurity.,Intermediate,English,Security Essentials
Mastering Using AI Safely for Professionals,"This course provides an in-depth look at Using AI Safely, covering key concepts and practical applications.",Advanced,Arabic,Using AI Safely
The Complete Guide to Vishing,"This course provides an in-depth look at Vishing, covering key concepts and practical applications.",Advanced,English,Vishing
The Complete Guide to Data Security,"A comprehensive overview of Data Security, designed for both beginners and experienced professionals.",Beginner,English,Data Security
Introduction to Business Email Compromise,Learn the fundamental principles of Business Email Compromise and how to apply them in real-world scenarios.,Expert,English,Business Email Compromise
Navigating the World of Using AI Safely,"A comprehensive overview of Using AI Safely, designed for both beginners and experienced professionals.",Expert,Arabic,Using AI Safely
Understanding Operation Technology,"A comprehensive overview of Operation Technology, designed for both beginners and experienced professionals.",Intermediate,English,Operation Technology
Understanding Email Phishing Intro,Learn the fundamental principles of Email Phishing Intro and how to apply them in real-world scenarios.,Intermediate,English,Email Phishing Intro
Essentials of Bring Your Own Device (BYOD),Explore advanced techniques and strategies to mitigate risks related to Bring Your Own Device (BYOD).,Intermediate,English,Bring Your Own Device (BYOD)
Navigating the World of PII,"This course provides an in-depth look at PII, covering key concepts and practical applications.",Beginner,Arabic,PII
Securing Your Assets with QR Phishing,Understand the latest trends and challenges in QR Phishing and how to effectively address them.,Expert,English,QR Phishing
Navigating the World of Ransomware,"This course provides an in-depth look at Ransomware, covering key concepts and practical applications.",Intermediate,Arabic,Ransomware
The Complete Guide to Telecom,This module focuses on the practical implementation of Telecom security measures.,Intermediate,English,Telecom
Introduction to Social engineering,Explore advanced techniques and strategies to mitigate risks related to Social engineering.,Expert,English,Social engineering
Navigating the World of Information Leakage,Learn the fundamental principles of Information Leakage and how to apply them in real-world scenarios.,Intermediate,Arabic,Information Leakage
Essentials of Vishing,Explore advanced techniques and strategies to mitigate risks related to Vishing.,Advanced,English,Vishing
Essentials of Laundering,This module focuses on the practical implementation of Laundering security measures.,Beginner,English,Laundering
Securing Your Assets with Operation Technology,Understand the latest trends and challenges in Operation Technology and how to effectively address them.,Intermediate,English,Operation Technology
Securing Your Assets with Password Security,Gain critical insights into Password Security and its impact on modern cybersecurity.,Beginner,English,Password Security
Securing Your Assets with Ransomware,Learn the fundamental principles of Ransomware and how to apply them in real-world scenarios.,Beginner,Arabic,Ransomware
Mastering Reporting for Professionals,"A comprehensive overview of Reporting, designed for both beginners and experienced professionals.",Expert,English,Reporting
